regime,seed,event_rank,event_epoch,event_score,event_selfrep_index,event_tape_hex,takeover_epoch
R,80,1,868,60.0,0,915247b436cfaffdebaefa7c0742bba4cd4f5257ec447d5a9f2ce68aa13c7f5b0719bdcf557bb0322e2e2cf8edb9414706b04b20787954523e32e72a49af7e91,
R,80,2,964,60.0,0,e8faa2ba6bededcfaffdb098fa7c0742bbfdcd4f5257ec447d5a9f2ce68aa13c7f5b0734bdcf557bb0322eba2ced90b941479fb04b20ee7854523e4ae7980a0a,
R,90,1,1907,63.0,0,115b5b282aac3085b7c3c64719eb6e2c912c9fbf6a80b764b3394b7d3c4b5d60605d4b3c7d4b39b364b7806abf9f2c912c6eeb1947c6c3b78530ac2a285b5b11,2256
R,90,2,2256,63.0,0,26622c28c7e2bce1f26cef21e55b762c7dbf47ef17ed6017c5efed473cbf5d7d5dbf3c47edefc51760ed17ef47bf7d2c765be521ef6cf2e1bce2c7282c6226cc,2256
R,94,1,1804,63.0,0,3f5b36d101717af93c487029cf0b7d2c5d327d25a23d3d46a22e25e27d3c32cc5dcc323c7de2252ea2463d3da2257d325d2c7d0bcf2970483cf97a7101d1365b,
R,94,2,2978,63.0,0,db897af82444bf2296205bce609d8bc733a682f0339d5b22f27bf5f7013e2e975d519797ba452e7c7a3e3e7a7c2e45ba9797515d972e3e01f7f57bf2225b9d33,
R,95,1,1730,64.0,0,98a95b1cc8b2d73b3c2c1280e1ba4a42e3c47d851a5d85907dfaf4c4b67fb6c4f4fa7d90855d1a857dc4e3424abae180122c3c3bd7b2c81c5ba998d5ebd1a23b,
R,95,2,2883,63.0,0,2020111a5b5b165b5b16385b442c3c7d4d5d3b2cee3b2c2c1d3b2cee2d2cf53b2c2c3bf52c2dee2c3b1d2c2c3bee2c3b5d4d7d3c2c445b38165b5b165b5b1a11,
R,99,1,1740,63.0,0,979714d35bc250ee7b3b3b3b3b3e2e28cb35092ed7f84e0df8e0d7972e2a0983355d3583092a2e97d7e0f80d4ef8d72e0935cb282e3e3b3b3b3b7bee50c25bd3,10543
R,99,2,2208,61.0,0,ad930b7d2c1c5b5bff987d55c92c3c9d391ad59d19bcba17bc8219d79dd7d5821a5d1a82d5d79dd71982bc17babc199dd51a399d3c2cc9557d98ff5b5b1c2c7d,10543
